,school_code,school_name,Year,Attendance
352,1502,Captains Flat Public School,2011,95.3
353,1503,Caragabal Public School,2011,91.3
354,1504,Carcoar Public School,2011,91.0
355,8903,Cardiff High School,2011,88.4
356,5260,Cardiff North Public School,2011,93.9
357,1505,Cardiff Public School,2011,94.4
358,3895,Cardiff South Public School,2011,93.4
359,1506,Cargo Public School,2011,94.2
360,1507,Carinda Public School,2011,88.2
361,8240,Caringbah High School,2011,95.9
362,3972,Caringbah North Public School,2011,95.4
363,1508,Caringbah Public School,2011,95.9
364,8447,Carlingford High School,2011,94.2
365,7302,Carlingford Public School,2011,95.0
366,4393,Carlingford West Public School,2011,96.1
367,1512,Carlton Public School,2011,95.9
368,1513,Carlton South Public School,2011,95.7
369,1515,Carool Public School,2011,95.2
370,3328,Carramar Public School,2011,94.1
371,1518,Carrington Public School,2011,91.0
372,1520,Carroll Public School,2011,96.1
373,4360,Cartwright Public School,2011,93.2
374,8154,Casino High School,2011,83.5
375,1526,Casino Public School,2011,92.2
376,5166,Casino West Public School,2011,91.3
377,1527,Cassilis Public School,2011,94.1
378,3919,Castle Cove Public School,2011,95.3
379,8382,Castle Hill High School,2011,94.1
380,1529,Castle Hill Public School,2011,95.7
381,4148,Castlereagh Public School,2011,95.0
382,8476,Casula High School,2011,89.3
383,4198,Casula Public School,2011,93.6
384,1535,Cattai Public School,2011,95.4
385,4367,Caves Beach Public School,2011,94.3
386,1537,Cawdor Public School,2011,94.5
387,8273,Cecil Hills High School,2011,93.2
388,4635,Cecil Hills Public School,2011,94.2
389,4607,Centaur Public School,2011,93.8
390,4110,Central Mangrove Public School,2011,94.0
391,8288,Central Sydney Intensive English High School,2011,
392,3214,Central Tilba Public School,2011,91.0
393,1543,Cessnock East Public School,2011,88.2
394,8108,Cessnock High School,2011,83.3
395,1542,Cessnock Public School,2011,91.7
396,1545,Cessnock West Public School,2011,92.6
397,1547,Chandler Public School,2011,97.1
398,4194,Charlestown East Public School,2011,93.7
399,1550,Charlestown Public School,2011,94.0
400,4324,Charlestown South Public School,2011,94.9
401,8414,Chatham High School,2011,79.0
402,4014,Chatham Public School,2011,92.5
403,8232,Chatswood High School,2011,93.1
404,7409,Chatswood Public School,2011,96.5
405,1553,Chatsworth Island Public School,2011,91.5
406,8208,Cheltenham Girls High School,2011,95.3
407,4440,Cherrybrook Public School,2011,94.7
408,8592,Cherrybrook Technology High School,2011,94.7
409,4398,Chertsey Primary School,2011,92.5
410,8269,Chester Hill High School,2011,91.6
411,3981,Chester Hill North Public School,2011,94.7
412,3698,Chester Hill Public School,2011,92.7
413,8528,Chifley College Bidwill Campus,2011,81.0
414,8488,Chifley College Dunheved Campus,2011,76.7
415,8459,Chifley College Mount Druitt Campus,2011,82.4
416,8473,Chifley College Senior Campus,2011,
417,8496,Chifley College Shalvey Campus,2011,84.3
418,4299,Chifley Public School,2011,94.5
419,1558,Chillingham Public School,2011,90.9
420,1560,Chipping Norton Public School,2011,94.9
421,4542,Chittaway Bay Public School,2011,93.0
422,3808,Chullora Public School,2011,94.3
423,4527,Clairgate Public School,2011,92.9
424,4565,Clare Public School,2011,92.1
425,4622,Claremont Meadows Public School,2011,93.5
426,1564,Clarence Town Public School,2011,93.5
427,4510,Claymore Public School,2011,92.9
428,1566,Clemton Park Public School,2011,94.8
429,2668,Clergate Public School,2011,95.6
430,1573,Clovelly Public School,2011,96.0
431,1574,Clunes Public School,2011,92.8
432,4022,Coal Point Public School,2011,94.1
433,8356,Cobar High School,2011,88.7
434,1578,Cobar Public School,2011,90.6
435,1579,Cobargo Public School,2011,91.6
436,1580,Cobbitty Public School,2011,94.0
437,1583,Coffee Camp Public School,2011,93.4
438,8109,Coffs Harbour High School,2011,89.7
439,1584,Coffs Harbour Public School,2011,92.3
440,8272,Coffs Harbour Senior College,2011,
441,4348,Coleambally Central School,2011,92.0
442,1587,Coledale Public School,2011,94.3
443,1589,Collarenebri Central School,2011,79.9
444,3970,Collaroy Plateau Public School,2011,96.9
445,1590,Collector Public School,2011,96.6
446,1593,Collins Creek Public School,2011,93.8
447,1346,Colo Heights Public School,2011,91.5
448,8526,Colo High School,2011,90.6
449,1085,Colo Vale Public School,2011,94.4
450,8443,Colyton High School,2011,86.8
451,1596,Colyton Public School,2011,94.3
452,1601,Comboyne Public School,2011,93.3
453,1604,Comleroy Road Public School,2011,95.1
454,1605,Como Public School,2011,96.0
455,3896,Como West Public School,2011,95.4
456,1606,Conargo Public School,2011,96.5
457,8535,Concord High School,2011,93.3
458,1607,Concord Public School,2011,95.7
459,1608,Concord West Public School,2011,96.1
460,8398,Condell Park High School,2011,88.3
461,3789,Condell Park Public School,2011,94.7
462,8346,Condobolin High School,2011,82.2
463,1609,Condobolin Public School,2011,89.2
464,1611,Condong Public School,2011,95.4
465,1822,Congewai Public School,2011,96.5
466,1612,Coniston Public School,2011,95.1
467,1613,Connells Point Public School,2011,95.8
468,8147,Conservatorium High School,2011,96.6
469,1615,Cooerwull Public School,2011,92.3
470,1616,Coogee Public School,2011,96.7
471,1621,Coolah Central School,2011,91.9
472,1624,Coolamon Central School,2011,90.1
473,1627,Coolongolook Public School,2011,92.9
474,3890,Cooma North Public School,2011,93.0
475,1628,Cooma Public School,2011,93.5
476,8494,Coomealla High School,2011,79.4
477,8347,Coonabarabran High School,2011,87.5
478,1630,Coonabarabran Public School,2011,91.4
479,8451,Coonamble High School,2011,77.0
480,1631,Coonamble Public School,2011,86.1
481,1632,Coopernook Public School,2011,93.0
482,1634,Coorabell Public School,2011,93.2
483,1635,Cooranbong Public School,2011,91.5
484,8190,Cootamundra High School,2011,90.1
485,1636,Cootamundra Public School,2011,93.3
486,4548,Copacabana Public School,2011,94.2
487,1642,Copmanhurst Public School,2011,95.6
488,1644,Coraki Public School,2011,89.9
489,1647,Coramba Public School,2011,96.1
490,1654,Corindi Public School,2011,90.9
491,1656,Corndale Public School,2011,97.2
492,8308,Corowa High School,2011,89.8
493,1658,Corowa Public School,2011,93.5
494,1659,Corowa South Public School,2011,94.6
495,3877,Corrimal East Public School,2011,93.2
496,8191,Corrimal High School,2011,84.9
497,1661,Corrimal Public School,2011,96.2
498,1666,Coutts Crossing Public School,2011,91.7
499,1668,Cowan Public School,2011,95.4
500,1670,Cowper Public School,2011,93.4
501,8148,Cowra High School,2011,88.9
502,1671,Cowra Public School,2011,91.4
503,1674,Crabbes Creek Public School,2011,93.1
504,8580,Cranebrook High School,2011,85.0
