,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
190,1271,Bobs Farm Public School,COMPOSITE_CLASS_COUNT,2,14
191,1272,Bodalla Public School,COMPOSITE_CLASS_COUNT,4,14
192,1274,Bogan Gate Public School,COMPOSITE_CLASS_COUNT,1,14
193,4632,Bogangar Public School,COMPOSITE_CLASS_COUNT,6,14
194,1275,Boggabilla Central School,COMPOSITE_CLASS_COUNT,3,14
195,1276,Boggabri Public School,COMPOSITE_CLASS_COUNT,2,14
196,1286,Bolwarra Public School,COMPOSITE_CLASS_COUNT,2,14
197,1287,Bomaderry Public School,COMPOSITE_CLASS_COUNT,3,14
198,1288,Bombala Public School,COMPOSITE_CLASS_COUNT,3,14
199,1290,Bonalbo Central School,COMPOSITE_CLASS_COUNT,2,14
200,1292,Bondi Beach Public School,COMPOSITE_CLASS_COUNT,3,14
201,7407,Bondi Public School,COMPOSITE_CLASS_COUNT,2,14
202,1293,Bongongo Public School,COMPOSITE_CLASS_COUNT,2,14
203,2532,Bonnells Bay Public School,COMPOSITE_CLASS_COUNT,2,14
204,4507,Bonnet Bay Public School,COMPOSITE_CLASS_COUNT,5,14
205,4594,Bonnyrigg Heights Public School,COMPOSITE_CLASS_COUNT,2,14
206,4545,Bonnyrigg Public School,COMPOSITE_CLASS_COUNT,7,14
207,1296,Bonshaw Public School,COMPOSITE_CLASS_COUNT,1,14
208,1297,Bonville Public School,COMPOSITE_CLASS_COUNT,3,14
209,1302,Boolaroo Public School,COMPOSITE_CLASS_COUNT,2,14
210,1303,Booligal Public School,COMPOSITE_CLASS_COUNT,1,14
211,1307,Boomi Public School,COMPOSITE_CLASS_COUNT,2,14
212,4017,Booragul Public School,COMPOSITE_CLASS_COUNT,8,14
213,1311,Booral Public School,COMPOSITE_CLASS_COUNT,3,14
214,1313,Boorowa Central School,COMPOSITE_CLASS_COUNT,4,14
215,1318,Boree Creek Public School,COMPOSITE_CLASS_COUNT,1,14
216,3504,Borenore Public School,COMPOSITE_CLASS_COUNT,2,14
217,1320,Boronia Park Public School,COMPOSITE_CLASS_COUNT,5,14
218,1321,Bossley Park Public School,COMPOSITE_CLASS_COUNT,9,14
219,1323,Botany Public School,COMPOSITE_CLASS_COUNT,5,14
220,1326,Bourke Public School,COMPOSITE_CLASS_COUNT,9,14
221,7408,Bourke Street Public School,COMPOSITE_CLASS_COUNT,4,14
222,4538,Bowen Public School,COMPOSITE_CLASS_COUNT,3,14
223,1334,Bowning Public School,COMPOSITE_CLASS_COUNT,2,14
224,1335,Bowral Public School,COMPOSITE_CLASS_COUNT,4,14
225,1336,Bowraville Central School,COMPOSITE_CLASS_COUNT,5,14
226,4403,Bradbury Public School,COMPOSITE_CLASS_COUNT,14,14
227,4525,Braddock Public School,COMPOSITE_CLASS_COUNT,1,14
228,4406,Bradfordville Public School,COMPOSITE_CLASS_COUNT,3,14
229,1340,Braidwood Central School,COMPOSITE_CLASS_COUNT,3,14
230,1341,Branxton Public School,COMPOSITE_CLASS_COUNT,7,14
231,1345,Breadalbane Public School,COMPOSITE_CLASS_COUNT,1,14
