,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
5337,4406,Bradfordville Public School,PCT_COMPOSITE_CLASS_STUDENTS,33.3,14
5338,1340,Braidwood Central School,PCT_COMPOSITE_CLASS_STUDENTS,47.3,14
5339,1341,Branxton Public School,PCT_COMPOSITE_CLASS_STUDENTS,59.3,14
5340,1345,Breadalbane Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5341,1347,Bredbo Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5342,1350,Brewarrina Central School,PCT_COMPOSITE_CLASS_STUDENTS,55.9,14
5343,4458,Briar Road Public School,PCT_COMPOSITE_CLASS_STUDENTS,39.7,14
5344,1354,Bribbaree Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5345,1358,Brighton-Le-Sands Public School,PCT_COMPOSITE_CLASS_STUDENTS,61.1,14
5346,1360,Bringelly Public School,PCT_COMPOSITE_CLASS_STUDENTS,28.7,14
5347,1498,Brisbania Public School,PCT_COMPOSITE_CLASS_STUDENTS,39.3,14
5348,1361,Broadwater Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5349,1363,Brocklesby Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5350,1367,Broke Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5351,1371,Broken Hill North Public School,PCT_COMPOSITE_CLASS_STUDENTS,84.3,14
5352,1369,Broken Hill Public School,PCT_COMPOSITE_CLASS_STUDENTS,67.9,14
5353,1372,Bronte Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5354,4566,Brooke Avenue Public School,PCT_COMPOSITE_CLASS_STUDENTS,87.5,14
5355,1377,Brooklyn Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5356,1379,Brookvale Public School,PCT_COMPOSITE_CLASS_STUDENTS,76.4,14
5357,4612,Broulee Public School,PCT_COMPOSITE_CLASS_STUDENTS,18.8,14
5358,1387,Brungle Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5359,1389,Brunswick Heads Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5360,4183,Budgewoi Public School,PCT_COMPOSITE_CLASS_STUDENTS,63.4,14
5361,1402,Bulahdelah Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5362,4228,Bullarah Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5363,1411,Bulli Public School,PCT_COMPOSITE_CLASS_STUDENTS,77.5,14
5364,1414,Bundanoon Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.9,14
5365,1415,Bundarra Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5366,3765,Bundeena Public School,PCT_COMPOSITE_CLASS_STUDENTS,65.5,14
5367,1421,Bungendore Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.9,14
5368,1424,Bungwahl Public School,PCT_COMPOSITE_CLASS_STUDENTS,84.2,14
5369,4616,Buninyong Public School,PCT_COMPOSITE_CLASS_STUDENTS,43.2,14
5370,1425,Bunnaloo Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5371,1432,Burke Ward Public School,PCT_COMPOSITE_CLASS_STUDENTS,19.6,14
5372,1433,Burnside Public School,PCT_COMPOSITE_CLASS_STUDENTS,46.8,14
5373,1688,Buronga Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5374,1437,Burraga Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5375,4259,Burraneer Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,11.3,14
5376,1445,Burrawang Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5377,1447,Burren Junction Public School,PCT_COMPOSITE_CLASS_STUDENTS,81.8,14
5378,1449,Burringbar Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5379,1453,Burrumbuttock Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5380,1455,Burwood Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.3,14
5381,4337,Busby Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.1,14
5382,4396,Busby West Public School,PCT_COMPOSITE_CLASS_STUDENTS,85.1,14
5383,1460,Buxton Public School,PCT_COMPOSITE_CLASS_STUDENTS,65.8,14
5384,1464,Bylong Upper Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5385,1470,Byron Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,84.6,14
5386,1471,Cabbage Tree Island Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5387,1472,Cabramatta Public School,PCT_COMPOSITE_CLASS_STUDENTS,8.2,14
5388,3980,Cabramatta West Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.3,14
5389,3928,Cabramurra Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5390,4615,Caddies Creek Public School,PCT_COMPOSITE_CLASS_STUDENTS,3.4,14
5391,4380,Calare Public School,PCT_COMPOSITE_CLASS_STUDENTS,8.4,14
5392,4626,Callala Public School,PCT_COMPOSITE_CLASS_STUDENTS,52.1,14
5393,1481,Cambewarra Public School,PCT_COMPOSITE_CLASS_STUDENTS,55.2,14
